Mean time,Standard deviation
0.00529559,0.012693

Raw measurements

Timestamp,Measurement
396,0.00160324
397,0.00162336
398,0.00160114
399,0.00164738
400,0.00214796
401,0.00179752
402,0.00165669
403,0.00176629
404,0.00160864
405,0.00175909
406,0.00163957
407,0.00160144
408,0.00159093
409,0.0516706
410,0.00340256
411,0.00439592
412,0.00424577
413,0.00428961
414,0.00274523
415,0.00235606
416,0.00191944
417,0.00154528
418,0.00162276
419,0.00174648
420,0.00158762
421,0.00173506
422,0.0531789
423,0.00401575
424,0.00398242
425,0.00267677
426,0.00255395
427,0.00257407
428,0.00248488
429,0.00247167
430,0.00237077
431,0.00239029
432,0.00170203
433,0.00170894
434,0.00161855
435,0.0533291
436,0.00415118
437,0.00351968
438,0.0547401
439,0.00409593
440,0.00370676
441,0.00356742
442,0.00379804
443,0.00413587
444,0.0021867
445,0.00212754
446,0.00201553
447,0.00215367
448,0.00207199
449,0.0021897
450,0.00216358
451,0.00213205
452,0.00212484
453,0.0020885
454,0.00204496
455,0.00180083
456,0.00172215
457,0.00165218
458,0.00154979
459,0.001569
460,0.001566
461,0.0514324
462,0.00189302
463,0.00164258
464,0.0015624
465,0.00157501
466,0.00177921
467,0.00166029
468,0.00167801
469,0.00163537
470,0.00177831
471,0.00166239
472,0.0017684
473,0.00166089
474,0.00165999
475,0.00197259
476,0.001669
477,0.0536762
478,0.00424037
479,0.00382567
480,0.00249029
481,0.00246687
482,0.00263833
483,0.0530612
484,0.00371276
485,0.00320287
486,0.00327945
487,0.0017774
488,0.00165158
489,0.00165399
490,0.0015684
491,0.00155129
492,0.00173566
493,0.00210772
494,0.00175428
495,0.0525945
496,0.004065
497,0.00310468
498,0.0153309
499,0.00233264
500,0.00174257
501,0.00161675
502,0.00165699
503,0.00167681
504,0.00171494
505,0.00173176
506,0.0515324
507,0.00425718
508,0.00381576
509,0.00456648
510,0.00435268
511,0.0029161
512,0.00259329
513,0.00164047
514,0.00160414
515,0.00167621
516,0.00183296
517,0.00165699
518,0.00159903
519,0.00156961
520,0.00157982
521,0.00207079
522,0.00164228
523,0.00164768
524,0.00181584
525,0.00167741
526,0.00160684
527,0.0522732
528,0.00184017
529,0.00161825
530,0.00159603
531,0.00167921
532,0.00160834
533,0.00160714
534,0.0016702
535,0.00163056
536,0.00161645
537,0.00160954
538,0.00157801
539,0.0513072
540,0.00183506
541,0.00153447
542,0.00158882
543,0.00164798
544,0.00176659
545,0.00162516
546,0.00162486
547,0.00186599
548,0.00162726
549,0.00166149
550,0.00160894
551,0.00162666
552,0.0526345
553,0.00408872
554,0.00372177
555,0.00305513
556,0.0540711
557,0.00369474
558,0.00353349
559,0.00285214
560,0.00297435
561,0.00293381
562,0.00298396
563,0.00195908
564,0.00199962
565,0.00199662
566,0.0523423
567,0.00218009
568,0.00199271
569,0.00215697
570,0.00195728
571,0.00203265
572,0.00235696
573,0.00221132
574,0.0545939
575,0.00391185
576,0.00369775
577,0.00283172
578,0.00276085
579,0.00180173
580,0.00175939
581,0.00169483
582,0.0016651
583,0.00161795
584,0.0015624
585,0.00157591
586,0.00168522
587,0.00178161
588,0.00160564
589,0.00161525
590,0.00170594
591,0.0529999
592,0.0037509
593,0.0538053
594,0.00392386
595,0.00451273
596,0.0539293
597,0.00348785
598,0.00313411
599,0.00390975
600,0.00161555
601,0.00159723
602,0.00165459
603,0.00162696
604,0.00163987
605,0.00158642
606,0.00201403
607,0.00169573
608,0.00162095
609,0.00170443
610,0.00161135
611,0.00174888
612,0.00172546
613,0.00163267
614,0.00172666
615,0.00170203
616,0.00163567
617,0.0016678
618,0.00183536
619,0.00169152
620,0.00196088
621,0.00169272
622,0.0016648
623,0.00161074
624,0.00160714
625,0.00165369
626,0.00167951
627,0.00161555
628,0.00168972
629,0.00164708
630,0.0523282
631,0.00169573
632,0.00373018
633,0.00404278
634,0.00205787
635,0.00209631
636,0.00205517
637,0.00205998
638,0.0521916
639,0.00450372
640,0.0539002
641,0.0040611
642,0.00371576
643,0.00348154
644,0.00341818
645,0.00432895
646,0.00216778
647,0.00220652
648,0.00225727
649,0.00232993
650,0.0524489
651,0.00481121
652,0.00430523
653,0.00275364
654,0.00370646
655,0.00160384
656,0.00170804
657,0.00179092
658,0.00167501
659,0.00183986
660,0.00165188
661,0.00165309
662,0.00161435
663,0.0016672
664,0.00172756
665,0.00164978
666,0.00166119
667,0.00163116
668,0.0015675
669,0.00160264
670,0.00188611
671,0.00184107
672,0.00178281
673,0.00173086
674,0.00185548
675,0.00164948
676,0.00173446
677,0.00168852
678,0.00195608
679,0.00163477
680,0.00162126
681,0.00169362
682,0.00168852
683,0.0015594
684,0.00161225
685,0.00159753
686,0.00172576
687,0.00173416
688,0.00165098
689,0.00168792
690,0.0022945
691,0.00163927
692,0.00174197
693,0.00168011
694,0.00167411
695,0.00163957
696,0.00164798
697,0.00161765
698,0.00161014
699,0.00175398
700,0.0017765
701,0.00163717
702,0.00176449
703,0.00167351
704,0.00153327
705,0.00173536
706,0.00162396
707,0.0520489
708,0.00421064
709,0.00420944
710,0.00249299
711,0.00249239
712,0.00237738
713,0.00246446
714,0.0016678
715,0.00165279
716,0.00162426
717,0.00159633
718,0.00183686
719,0.00174317
720,0.001878
721,0.00183596
722,0.00181945
723,0.00176539
724,0.00175068
725,0.00163717
726,0.00253984
727,0.00173236
728,0.00192515
729,0.0017717
730,0.00178071
731,0.00186299
732,0.00171585
733,0.00175278
734,0.00168432
735,0.00178942
736,0.00173717
737,0.00231192
738,0.00175098
739,0.00180503
740,0.00175759
741,0.00175098
742,0.00188311
743,0.00184437
744,0.00178972
745,0.00173506
746,0.00180863
747,0.00173987
748,0.00159573
749,0.00164258
750,0.00164798
751,0.00180984
752,0.00180413
753,0.0017747
754,0.00170413
755,0.00175458
756,0.00178912
757,0.00175428
758,0.00168552
759,0.00167441
760,0.0543711
761,0.00404548
762,0.00301129
763,0.003132
764,0.00186179
765,0.00167471
766,0.00171795
767,0.00180323
768,0.00169993
769,0.00192935
770,0.00182425
771,0.00176659
772,0.00186209
773,0.00190683
774,0.00171585
775,0.00171464
776,0.00174287
777,0.00171194
778,0.00213355
779,0.00178311
780,0.00173717
781,0.00232303
782,0.00176179
783,0.00173146
784,0.00174137
785,0.00179512
786,0.00176179
787,0.00158792
788,0.00169483
789,0.00168432
790,0.00170413
791,0.00184707
792,0.00173897
793,0.00216508
794,0.0021915
795,0.00175548
796,0.00169663
797,0.00179542
798,0.00167651
799,0.00178371
800,0.00176479
801,0.00178101
802,0.00175368
803,0.00180113
804,0.00171404
805,0.0534348
806,0.00437249
807,0.00637662
808,0.00264374
809,0.00277857
810,0.00175308
811,0.00173987
812,0.00170233
813,0.00157111
814,0.00168281
815,0.00171765
816,0.052342
817,0.00429562
818,0.00503403
819,0.00199571
820,0.00188371
821,0.0017738
822,0.00197139
823,0.00172876
824,0.00188941
825,0.00167921
826,0.00165279
827,0.00191434
828,0.00168311
829,0.00172996
830,0.0520087
831,0.00184677
832,0.00172035
833,0.0018768
834,0.00163357
835,0.00180083
836,0.00180503
837,0.00163747
838,0.00505235
839,0.00366111
840,0.00246446
841,0.00241942
842,0.00231462
843,0.0021897
844,0.002499
845,0.00204346
846,0.00254344
847,0.0543065
848,0.00402776
849,0.00344671
850,0.00320798
851,0.00320167
852,0.00337734
853,0.00198971
854,0.00205697
855,0.0019795
856,0.00200562
857,0.00192304
858,0.00165369
859,0.00159033
860,0.00164498
861,0.00161825
862,0.00162786
863,0.00169573
864,0.00168101
865,0.00159513
866,0.00154829
867,0.00193776
868,0.00160354
869,0.00162456
870,0.00159633
871,0.00157952
872,0.00173717
873,0.00152276
874,0.00160234
875,0.00161044
876,0.00166269
877,0.00162246
878,0.00163657
879,0.00186749
880,0.00160204
881,0.00163297
882,0.00162636
883,0.00160474
884,0.00160954
885,0.001672
886,0.00160144
887,0.00155819
888,0.00154528
889,0.00169903
890,0.00157441
891,0.00169573
892,0.00180924
893,0.00159723
894,0.00173026
895,0.00163327
896,0.00163777
897,0.00160294
898,0.00162816
899,0.00163867
900,0.00197529
901,0.00162456
902,0.0016657
903,0.05359
904,0.0018726
905,0.00172305
906,0.00169392
907,0.00171134
908,0.00171464
909,0.00160414
910,0.00162966
911,0.00170894
912,0.00168642
913,0.001772
914,0.00180593
915,0.00168612
916,0.00170984
917,0.00171044
