Mean time,Standard deviation
0.0175299,0.0188251

Raw measurements

Timestamp,Measurement
399,0.00898926
400,0.009044
401,0.00888106
402,0.00942247
403,0.00901492
404,0.00900551
405,0.060429
406,0.0101982
407,0.00922447
408,0.00892511
409,0.0610414
410,0.00959695
411,0.00883915
412,0.00881863
413,0.00856417
414,0.00919154
415,0.00928049
416,0.00930016
417,0.00889945
418,0.00896275
419,0.00837986
420,0.00877543
421,0.0124969
422,0.0641855
423,0.0139389
424,0.0134587
425,0.0125174
426,0.0118554
427,0.0120624
428,0.00882119
429,0.0102183
430,0.00930872
431,0.00973594
432,0.00961192
433,0.0100592
434,0.00914493
435,0.00900466
436,0.00924371
437,0.00820195
438,0.0083435
439,0.009242
440,0.0599667
441,0.06006
442,0.00931385
443,0.00957258
444,0.00882333
445,0.0670808
446,0.0107123
447,0.00908634
448,0.0131909
449,0.0645516
450,0.115988
451,0.0139928
452,0.0141976
453,0.0129066
454,0.0121881
455,0.0123784
456,0.0638284
457,0.0135959
458,0.0602229
459,0.0111198
460,0.00988648
461,0.00904785
462,0.00855562
463,0.00900637
464,0.0600057
465,0.00856375
466,0.00865484
467,0.00901962
468,0.00873566
469,0.00917443
470,0.111735
471,0.0609281
472,0.00980736
473,0.00896574
474,0.00917144
475,0.00871556
476,0.0127081
477,0.0125773
478,0.012895
479,0.0124101
480,0.0122681
481,0.0120932
482,0.0120726
483,0.0126008
484,0.0123771
485,0.0131418
486,0.0127847
487,0.0122292
488,0.00862576
489,0.00924158
490,0.00896574
491,0.00920095
492,0.00900551
493,0.0604205
494,0.00950159
495,0.00910344
496,0.00881093
497,0.00863217
498,0.0603277
499,0.00931513
500,0.00992069
501,0.00870615
502,0.00941862
503,0.00869931
504,0.00854792
505,0.00886652
506,0.0127911
507,0.0124165
508,0.0127368
509,0.0130473
510,0.0123006
511,0.0118832
512,0.0122103
513,0.0123793
514,0.115491
515,0.0129425
516,0.0139877
517,0.0135664
518,0.00830159
519,0.0087656
520,0.00892169
521,0.00886268
522,0.00874336
523,0.0085368
524,0.00862233
525,0.00842732
526,0.00906666
527,0.00925013
528,0.00872625
529,0.00876517
530,0.00886652
531,0.00880238
532,0.00856332
533,0.00859325
534,0.00905512
535,0.00872326
536,0.0650986
537,0.0645238
538,0.0146492
539,0.0132132
540,0.0128706
541,0.0126585
542,0.0134159
543,0.0125127
544,0.0117027
545,0.0117575
546,0.0126949
547,0.0638708
548,0.0101512
549,0.00994207
550,0.00878185
551,0.0599642
552,0.0594296
553,0.0087425
554,0.00916545
555,0.0604624
556,0.0606749
557,0.00953537
558,0.00938655
559,0.0599253
560,0.0105267
561,0.00951784
562,0.00979923
563,0.059513
564,0.00899354
565,0.0615739
566,0.0131982
567,0.0129173
568,0.0123959
569,0.0644934
570,0.0140681
571,0.0147835
572,0.0125798
573,0.0123091
574,0.0125384
575,0.0124421
576,0.0127329
577,0.0121958
578,0.00923944
579,0.00886567
580,0.00850516
581,0.0085646
582,0.00884942
583,0.00865141
584,0.00886353
585,0.0085167
586,0.00885669
587,0.00841877
588,0.00854194
589,0.00868349
590,0.00915562
591,0.00884086
592,0.00875918
593,0.00875833
594,0.00870615
595,0.0598774
596,0.0120474
597,0.0121607
598,0.0120641
599,0.0123202
600,0.012987
601,0.0647967
602,0.0128497
603,0.0127359
604,0.0119101
605,0.0122454
606,0.0123061
607,0.0645452
608,0.0102923
609,0.0104582
610,0.00930102
611,0.00912012
612,0.00914749
613,0.00895163
614,0.00905298
615,0.00898327
616,0.00880451
617,0.00871428
618,0.00881863
619,0.00857486
620,0.00881093
621,0.0086202
622,0.0086527
623,0.00872796
624,0.00867665
625,0.00881863
626,0.0120525
627,0.0639777
628,0.06475
629,0.0137905
630,0.0648886
631,0.0132042
632,0.0136062
633,0.0651247
634,0.0647979
635,0.0138423
636,0.0131448
637,0.0124802
638,0.00876902
639,0.00902476
640,0.060048
641,0.00842989
642,0.0088785
643,0.00894478
644,0.00875704
645,0.00864543
646,0.00889133
647,0.00909746
648,0.111815
649,0.00851371
650,0.00876303
651,0.0608434
652,0.00981549
653,0.00955718
654,0.0087053
655,0.0599501
656,0.0124336
657,0.0120389
658,0.0124113
659,0.0124605
660,0.0120448
661,0.0118306
662,0.0124605
663,0.0123395
664,0.0120919
665,0.0126187
666,0.0122668
667,0.0120983
668,0.00948063
669,0.00877287
670,0.00909959
671,0.00924927
672,0.00907265
673,0.00881563
674,0.00870573
675,0.00888106
676,0.0604637
677,0.0101918
678,0.061969
679,0.00923644
680,0.0085197
681,0.0094879
682,0.00932625
683,0.00908719
684,0.008577
685,0.00840466
686,0.0120072
687,0.0123061
688,0.0124751
689,0.012363
690,0.0132927
691,0.0130584
692,0.0125054
693,0.0119212
694,0.0119537
695,0.0123078
696,0.0638293
697,0.0650622
698,0.00907821
699,0.00985141
700,0.0092946
701,0.00929118
702,0.00865997
703,0.0604521
704,0.00914877
705,0.0087579
706,0.00885883
707,0.00896275
708,0.00884044
709,0.00851114
710,0.00864928
711,0.0085398
712,0.00858598
713,0.0597807
714,0.00902689
715,0.0101499
716,0.0125384
717,0.0122339
718,0.00840166
719,0.00881734
720,0.0119734
721,0.011822
722,0.0117669
723,0.0120397
724,0.0123399
725,0.0123643
726,0.012035
727,0.0122488
728,0.00874208
729,0.0604316
730,0.0104373
731,0.0100481
732,0.00926467
733,0.00898199
734,0.00905726
735,0.00869461
736,0.00926723
737,0.00890843
738,0.0614024
739,0.00994891
740,0.0104411
741,0.0614092
742,0.0102752
743,0.00977315
744,0.0100024
745,0.00897301
746,0.012174
747,0.00983259
748,0.00932197
749,0.00905982
750,0.0123955
751,0.0123652
752,0.012248
753,0.0121633
754,0.0119178
755,0.0124113
756,0.0120731
757,0.0126701
758,0.00842946
759,0.00868263
760,0.0086095
761,0.00872796
762,0.00876132
763,0.00893409
764,0.00872882
765,0.00858299
766,0.00880066
767,0.0603837
768,0.00918042
769,0.00972097
770,0.0615123
771,0.00973252
772,0.00858513
773,0.00881991
774,0.00874635
775,0.00879425
776,0.0087904
777,0.0131815
778,0.0125076
779,0.0087502
780,0.00849703
781,0.0123421
782,0.0633649
783,0.0640658
784,0.0134176
785,0.06452
786,0.0131234
787,0.0137644
788,0.00915904
789,0.0613057
790,0.0100631
791,0.00933651
792,0.0104732
793,0.00989674
794,0.00853937
795,0.00955975
796,0.00889603
797,0.00913381
798,0.00874165
799,0.059235
