
Raw measurements

Timestamp,Measurement
0.016,--,0 x: 0,y: -20,z: 0
--,5 x: 0.938459,y: -8.87013,z: 48.4853
--,6 x: -0.0526712,y: -9.15164,z: 51.1193
--,7 x: -2.86501,y: -9.43481,z: 50.1971
--,9 x: 30.9385,y: -8.87013,z: 48.4853
--,10 x: 29.9473,y: -9.15164,z: 51.1193
--,11 x: 27.135,y: -9.43481,z: 50.1971
--,13 x: 60.9386,y: -8.87013,z: 48.4853
--,14 x: 59.9475,y: -9.15164,z: 51.1193
--,15 x: 57.1351,y: -9.43481,z: 50.1971
--,17 x: 90.9384,y: -8.8701,z: 48.484
--,18 x: 89.9481,y: -9.15161,z: 51.1183
--,19 x: 87.1353,y: -9.4348,z: 50.197


0.032,--,0 x: 0,y: -20,z: 0
--,5 x: 0.917418,y: -8.87009,z: 48.4837
--,6 x: -0.056961,y: -9.15161,z: 51.124
--,7 x: -2.87528,y: -9.4348,z: 50.2198
--,9 x: 30.9175,y: -8.87009,z: 48.4838
--,10 x: 29.943,y: -9.15161,z: 51.124
--,11 x: 27.1247,y: -9.4348,z: 50.2198
--,13 x: 60.9175,y: -8.87009,z: 48.4837
--,14 x: 59.9432,y: -9.1516,z: 51.124
--,15 x: 57.1249,y: -9.4348,z: 50.2198
--,17 x: 90.9174,y: -8.87007,z: 48.4824
--,18 x: 89.9438,y: -9.15159,z: 51.123
--,19 x: 87.1251,y: -9.4348,z: 50.2197


0.048,--,0 x: 0,y: -20,z: 0
--,5 x: 0.896626,y: -8.87006,z: 48.4824
--,6 x: -0.0612355,y: -9.15159,z: 51.1287
--,7 x: -2.88504,y: -9.4348,z: 50.2421
--,9 x: 30.8967,y: -8.87006,z: 48.4824
--,10 x: 29.9388,y: -9.15159,z: 51.1287
--,11 x: 27.115,y: -9.4348,z: 50.242
--,13 x: 60.8967,y: -8.87006,z: 48.4824
--,14 x: 59.9389,y: -9.15159,z: 51.1287
--,15 x: 57.1151,y: -9.4348,z: 50.2421
--,17 x: 90.8966,y: -8.87005,z: 48.4811
--,18 x: 89.9395,y: -9.15159,z: 51.1277
--,19 x: 87.1153,y: -9.4348,z: 50.242


0.064,--,0 x: 0,y: -20,z: 0
--,5 x: 0.875665,y: -8.87004,z: 48.4812
--,6 x: -0.065579,y: -9.15158,z: 51.1334
--,7 x: -2.8945,y: -9.4348,z: 50.2643
--,9 x: 30.8757,y: -8.87004,z: 48.4812
--,10 x: 29.9344,y: -9.15158,z: 51.1334
--,11 x: 27.1055,y: -9.4348,z: 50.2643
--,13 x: 60.8758,y: -8.87004,z: 48.4812
--,14 x: 59.9345,y: -9.15158,z: 51.1334
--,15 x: 57.1056,y: -9.4348,z: 50.2643
--,17 x: 90.8756,y: -8.87004,z: 48.4799
--,18 x: 89.9352,y: -9.15158,z: 51.1324
--,19 x: 87.1059,y: -9.4348,z: 50.2643


0.08,--,0 x: 0,y: -20,z: 0
--,5 x: 0.855054,y: -8.87002,z: 48.4802
--,6 x: -0.0698824,y: -9.15158,z: 51.1381
--,7 x: -2.90344,y: -9.4348,z: 50.2861
--,9 x: 30.8551,y: -8.87002,z: 48.4802
--,10 x: 29.9301,y: -9.15158,z: 51.1381
--,11 x: 27.0966,y: -9.43479,z: 50.286
--,13 x: 60.8552,y: -8.87002,z: 48.4802
--,14 x: 59.9302,y: -9.15158,z: 51.1381
--,15 x: 57.0967,y: -9.43479,z: 50.2861
--,17 x: 90.855,y: -8.87002,z: 48.4789
--,18 x: 89.9309,y: -9.15158,z: 51.1371
--,19 x: 87.097,y: -9.43479,z: 50.286


0.096,--,0 x: 0,y: -20,z: 0
--,5 x: 0.834609,y: -8.87,z: 48.4793
--,6 x: -0.0741816,y: -9.15158,z: 51.1429
--,7 x: -2.91196,y: -9.43479,z: 50.3074
--,9 x: 30.8347,y: -8.87001,z: 48.4794
--,10 x: 29.9258,y: -9.15158,z: 51.1429
--,11 x: 27.088,y: -9.43479,z: 50.3074
--,13 x: 60.8347,y: -8.87,z: 48.4793
--,14 x: 59.9259,y: -9.15158,z: 51.1429
--,15 x: 57.0882,y: -9.43479,z: 50.3075
--,17 x: 90.8345,y: -8.87,z: 48.478
--,18 x: 89.9266,y: -9.15158,z: 51.1418
--,19 x: 87.0885,y: -9.43479,z: 50.3073


0.112,--,0 x: 0,y: -20,z: 0
--,5 x: 0.814071,y: -8.86999,z: 48.4787
--,6 x: -0.0785313,y: -9.15158,z: 51.1476
--,7 x: -2.92017,y: -9.43479,z: 50.3288
--,9 x: 30.8141,y: -8.86999,z: 48.4787
--,10 x: 29.9215,y: -9.15158,z: 51.1476
--,11 x: 27.0798,y: -9.43479,z: 50.3287
--,13 x: 60.8142,y: -8.86999,z: 48.4786
--,14 x: 59.9216,y: -9.15158,z: 51.1476
--,15 x: 57.08,y: -9.43479,z: 50.3288
--,17 x: 90.8139,y: -8.87043,z: 48.4772
--,18 x: 89.9222,y: -9.15204,z: 51.1465
--,19 x: 87.0802,y: -9.43486,z: 50.3286


0.128,--,0 x: 0,y: -20,z: 0
--,5 x: 0.793476,y: -8.87035,z: 48.4781
--,6 x: -0.0829353,y: -9.15197,z: 51.1524
--,7 x: -2.92812,y: -9.43484,z: 50.3499
--,9 x: 30.7935,y: -8.87035,z: 48.4781
--,10 x: 29.9171,y: -9.15197,z: 51.1524
--,11 x: 27.0719,y: -9.43484,z: 50.3498
--,13 x: 60.7936,y: -8.87035,z: 48.478
--,14 x: 59.9172,y: -9.15197,z: 51.1524
--,15 x: 57.072,y: -9.43484,z: 50.3499
--,17 x: 90.7931,y: -8.87189,z: 48.4764
--,18 x: 89.9177,y: -9.15345,z: 51.151
--,19 x: 87.0721,y: -9.43508,z: 50.3496


0.144,--,0 x: 0,y: -20,z: 0
--,5 x: 0.773137,y: -8.87183,z: 48.4774
--,6 x: -0.087355,y: -9.15344,z: 51.1568
--,7 x: -2.93583,y: -9.43507,z: 50.3703
--,9 x: 30.7732,y: -8.87183,z: 48.4774
--,10 x: 29.9126,y: -9.15344,z: 51.1569
--,11 x: 27.0642,y: -9.43507,z: 50.3703
--,13 x: 60.7732,y: -8.87183,z: 48.4773
--,14 x: 59.9128,y: -9.15344,z: 51.1568
--,15 x: 57.0643,y: -9.43507,z: 50.3703
--,17 x: 90.7731,y: -8.8721,z: 48.4758
--,18 x: 89.9134,y: -9.15327,z: 51.1556
--,19 x: 87.0644,y: -9.43511,z: 50.3702


0.16,--,0 x: 0,y: -20,z: 0
--,5 x: 0.753,y: -8.87208,z: 48.477
--,6 x: -0.0917418,y: -9.15327,z: 51.1615
--,7 x: -2.94322,y: -9.43511,z: 50.3908
--,9 x: 30.753,y: -8.87208,z: 48.477
--,10 x: 29.9083,y: -9.15327,z: 51.1615
--,11 x: 27.0568,y: -9.43511,z: 50.3907
--,13 x: 60.7531,y: -8.87208,z: 48.4769
--,14 x: 59.9084,y: -9.15327,z: 51.1615
--,15 x: 57.0569,y: -9.43511,z: 50.3908
--,17 x: 90.7531,y: -8.87166,z: 48.4755
--,18 x: 89.9092,y: -9.15289,z: 51.1603
--,19 x: 87.0572,y: -9.43504,z: 50.3907


0.176,--,0 x: 0,y: -20,z: 0
--,5 x: 0.733157,y: -8.87164,z: 48.4768
--,6 x: -0.0959515,y: -9.15289,z: 51.1662
