Mean time,Standard deviation
0.00440958,0.0112391

Raw measurements

Timestamp,Measurement
395,0.00388873
396,0.00356772
397,0.00244284
398,0.00236807
399,0.00161135
400,0.00153687
401,0.00174738
402,0.0016657
403,0.00148012
404,0.00167831
405,0.00156961
406,0.0015591
407,0.00155189
408,0.0014609
409,0.00164288
410,0.00179692
411,0.00160204
412,0.00152576
413,0.00163567
414,0.00173386
415,0.00157411
416,0.00161255
417,0.00164618
418,0.00159843
419,0.0015666
420,0.00152787
421,0.00165849
422,0.00158492
423,0.00162276
424,0.00149303
425,0.00158912
426,0.00166239
427,0.00152636
428,0.00156
429,0.00160894
430,0.0015606
431,0.00160684
432,0.00199061
433,0.00162276
434,0.00165218
435,0.00155819
436,0.00167561
437,0.00207769
438,0.00160984
439,0.00155489
440,0.00150384
441,0.00165879
442,0.00159363
443,0.00171585
444,0.052239
445,0.00419352
446,0.00389263
447,0.00235366
448,0.00224255
449,0.00169723
450,0.0015666
451,0.00151675
452,0.00149664
453,0.00209091
454,0.00153717
455,0.00158042
456,0.00155069
457,0.00154859
458,0.00161165
459,0.00157561
460,0.0015672
461,0.00152426
462,0.00162486
463,0.00147712
464,0.00158012
465,0.00154468
466,0.00160534
467,0.0015666
468,0.00162336
469,0.00147712
470,0.00162516
471,0.0016717
472,0.00157531
473,0.00163327
474,0.00160054
475,0.00167711
476,0.00149153
477,0.00152847
478,0.00160114
479,0.00197319
480,0.00157351
481,0.00168101
482,0.00154078
483,0.00165849
484,0.00160534
485,0.00151645
486,0.00153988
487,0.0522636
488,0.00390765
489,0.0039611
490,0.00265545
491,0.00245576
492,0.00151976
493,0.00170684
494,0.00153778
495,0.00163657
496,0.00164438
497,0.00162216
498,0.00151585
499,0.00167921
500,0.00194286
501,0.00154528
502,0.0531083
503,0.00410824
504,0.003965
505,0.00390134
506,0.00199962
507,0.00207469
508,0.00160804
509,0.0015639
510,0.00158312
511,0.00157921
512,0.0017717
513,0.00173717
514,0.00173236
515,0.00172906
516,0.00154829
517,0.00151105
518,0.00155339
519,0.00162095
520,0.00157801
521,0.00165849
522,0.00165399
523,0.0528594
524,0.00377702
525,0.00943565
526,0.00209391
527,0.00181554
528,0.00215637
529,0.00164198
530,0.00153417
531,0.00168522
532,0.0016672
533,0.00163687
534,0.00168191
535,0.00171945
536,0.0015678
537,0.0015654
538,0.00164738
539,0.00151615
540,0.00152276
541,0.00159813
542,0.00153627
