
Raw measurements

,705 x: 0,y: -10,z: 0
,706 x: 0,y: 11,z: 10
,707 x: -2,y: 7,z: 10
,708 x: -2,y: 3,z: 10
,709 x: -2,y: 0.5,z: 10.5
,710 x: 2,y: 7,z: 10
,711 x: 2,y: 3,z: 10
,712 x: 2,y: 0.5,z: 10.5
,714 x: 30,y: 11,z: 10
,715 x: 28,y: 7,z: 10
,716 x: 28,y: 3,z: 10
,717 x: 28,y: 0.5,z: 10.5
,718 x: 32,y: 7,z: 10
,719 x: 32,y: 3,z: 10
,720 x: 32,y: 0.5,z: 10.5
,722 x: 30,y: 11,z: 10
,723 x: 28,y: 7,z: 10
,724 x: 28,y: 3,z: 10
,725 x: 28,y: 0.5,z: 10.5
,726 x: 32,y: 7,z: 10
,727 x: 32,y: 3,z: 10
,728 x: 32,y: 0.5,z: 10.5
,730 x: 30,y: 11,z: 10
,731 x: 28,y: 7,z: 10
,732 x: 28,y: 3,z: 10
,733 x: 28,y: 0.5,z: 10.5
,734 x: 32,y: 7,z: 10
,735 x: 32,y: 3,z: 10
,736 x: 32,y: 0.5,z: 10.5
,738 x: 30,y: 11,z: 10
,739 x: 28,y: 7,z: 10
,740 x: 28,y: 3,z: 10
,741 x: 28,y: 0.5,z: 10.5
,742 x: 32,y: 7,z: 10
,743 x: 32,y: 3,z: 10
,744 x: 32,y: 0.5,z: 10.5
,746 x: 30,y: 11,z: 10
,747 x: 28,y: 7,z: 10
,748 x: 28,y: 3,z: 10
,749 x: 28,y: 0.5,z: 10.5
,750 x: 32,y: 7,z: 10
,751 x: 32,y: 3,z: 10
,752 x: 32,y: 0.5,z: 10.5
,754 x: 30,y: 11,z: 10
,755 x: 28,y: 7,z: 10
,756 x: 28,y: 3,z: 10
,757 x: 28,y: 0.5,z: 10.5
,758 x: 32,y: 7,z: 10
,759 x: 32,y: 3,z: 10
,760 x: 32,y: 0.5,z: 10.5
,762 x: 30,y: 11,z: 10
,763 x: 28,y: 7,z: 10
,764 x: 28,y: 3,z: 10
,765 x: 28,y: 0.5,z: 10.5
,766 x: 32,y: 7,z: 10
,767 x: 32,y: 3,z: 10
,768 x: 32,y: 0.5,z: 10.5
,770 x: 30,y: 11,z: 10
,771 x: 28,y: 7,z: 10
,772 x: 28,y: 3,z: 10
,773 x: 28,y: 0.5,z: 10.5
,774 x: 32,y: 7,z: 10
,775 x: 32,y: 3,z: 10
,776 x: 32,y: 0.5,z: 10.5
,778 x: 30,y: 11,z: 10
,779 x: 28,y: 7,z: 10
,780 x: 28,y: 3,z: 10
,781 x: 28,y: 0.5,z: 10.5
,782 x: 32,y: 7,z: 10
,783 x: 32,y: 3,z: 10
,784 x: 32,y: 0.5,z: 10.5


,705 x: 0,y: -10,z: 0
,706 x: 0,y: 10.9973,z: 10
,707 x: -2,y: 6.99727,z: 10
,708 x: -2,y: 2.99727,z: 10
,709 x: -2,y: 0.5,z: 10.4995
,710 x: 2,y: 6.99727,z: 10
,711 x: 2,y: 2.99727,z: 10
,712 x: 2,y: 0.5,z: 10.4995
,714 x: 30,y: 10.9973,z: 10
,715 x: 28,y: 6.99727,z: 10
,716 x: 28,y: 2.99727,z: 10
,717 x: 28,y: 0.5,z: 10.4993
,718 x: 32,y: 6.99727,z: 10
,719 x: 32,y: 2.99727,z: 10
,720 x: 32,y: 0.5,z: 10.4993
,722 x: 30,y: 10.9973,z: 10
,723 x: 28,y: 6.99727,z: 10
,724 x: 28,y: 2.99727,z: 10
,725 x: 28,y: 0.5,z: 10.4995
,726 x: 32,y: 6.99727,z: 10
,727 x: 32,y: 2.99727,z: 10
,728 x: 32,y: 0.5,z: 10.4995
,730 x: 30,y: 10.9973,z: 10
,731 x: 28,y: 6.99727,z: 10
,732 x: 28,y: 2.99727,z: 10
,733 x: 28,y: 0.5,z: 10.4998
,734 x: 32,y: 6.99727,z: 10
,735 x: 32,y: 2.99727,z: 10
,736 x: 32,y: 0.5,z: 10.4998
,738 x: 30,y: 10.9973,z: 10
,739 x: 28,y: 6.99727,z: 10
,740 x: 28,y: 2.99727,z: 10
,741 x: 28,y: 0.5,z: 10.4994
,742 x: 32,y: 6.99727,z: 10
,743 x: 32,y: 2.99727,z: 10
,744 x: 32,y: 0.5,z: 10.4994
,746 x: 30,y: 10.9973,z: 10
,747 x: 28,y: 6.99727,z: 10
,748 x: 28,y: 2.99727,z: 10
,749 x: 28,y: 0.5,z: 10.4995
,750 x: 32,y: 6.99727,z: 10
,751 x: 32,y: 2.99727,z: 10
,752 x: 32,y: 0.5,z: 10.4995
,754 x: 30,y: 10.9973,z: 10
,755 x: 28,y: 6.99727,z: 10
,756 x: 28,y: 2.99727,z: 10
,757 x: 28,y: 0.5,z: 10.5006
,758 x: 32,y: 6.99727,z: 10
,759 x: 32,y: 2.99727,z: 10
,760 x: 32,y: 0.5,z: 10.5006
,762 x: 30,y: 10.9973,z: 10
,763 x: 28,y: 6.99727,z: 10
,764 x: 28,y: 2.99727,z: 10
,765 x: 28,y: 0.5,z: 10.4993
,766 x: 32,y: 6.99727,z: 10
,767 x: 32,y: 2.99727,z: 10
,768 x: 32,y: 0.5,z: 10.4993
,770 x: 30,y: 10.9973,z: 10
,771 x: 28,y: 6.99727,z: 10
,772 x: 28,y: 2.99727,z: 10
,773 x: 28,y: 0.5,z: 10.4995
,774 x: 32,y: 6.99727,z: 10
,775 x: 32,y: 2.99727,z: 10
,776 x: 32,y: 0.5,z: 10.4995
,778 x: 30,y: 10.9973,z: 10
,779 x: 28,y: 6.99727,z: 10
,780 x: 28,y: 2.99727,z: 10
,781 x: 28,y: 0.5,z: 10.4995
,782 x: 32,y: 6.99727,z: 10
,783 x: 32,y: 2.99727,z: 10
,784 x: 32,y: 0.5,z: 10.4995

Time: 00411260
Steps: 2
