
Raw measurements

,0 x: 0,y: -10,z: 0
,1 x: 0,y: 11,z: 10
,2 x: -2,y: 7,z: 10
,3 x: -2,y: 3,z: 10
,4 x: -2,y: 0.5,z: 10.5
,5 x: 2,y: 7,z: 10
,6 x: 2,y: 3,z: 10
,7 x: 2,y: 0.5,z: 10.5


,0 x: 0,y: -10,z: 0
,1 x: 0,y: 10.9973,z: 10
,2 x: -2,y: 6.99727,z: 10
,3 x: -2,y: 2.99727,z: 10
,4 x: -2,y: 0.5,z: 10.4997
,5 x: 2,y: 6.99727,z: 10
,6 x: 2,y: 2.99727,z: 10
,7 x: 2,y: 0.5,z: 10.4997


,0 x: 0,y: -10,z: 0
,1 x: 0,y: 10.9927,z: 9.99918
,2 x: -2,y: 6.99338,z: 10.0014
,3 x: -2,y: 2.99423,z: 10.0006
,4 x: -2,y: 0.499263,z: 10.4997
,5 x: 2,y: 6.99339,z: 10.0014
,6 x: 2,y: 2.99424,z: 10.0007
,7 x: 2,y: 0.499265,z: 10.4997


,0 x: 0,y: -10,z: 0
,1 x: -4.60482e-005,y: 10.9875,z: 9.99838
,2 x: -2.00004,y: 6.9889,z: 10.0023
,3 x: -2.00006,y: 2.99062,z: 10
,4 x: -1.99997,y: 0.498298,z: 10.4991
,5 x: 1.99987,y: 6.98885,z: 10.0023
,6 x: 1.99987,y: 2.99058,z: 10
,7 x: 1.99998,y: 0.49829,z: 10.4991


,0 x: 0,y: -10,z: 0
,1 x: -0.000164422,y: 10.9825,z: 9.9975
,2 x: -2.00006,y: 6.98461,z: 10.0033
,3 x: -1.99995,y: 2.98717,z: 9.99973
,4 x: -1.99986,y: 0.497401,z: 10.4992
,5 x: 1.99975,y: 6.9844,z: 10.0032
,6 x: 1.9999,y: 2.987,z: 9.99969
,7 x: 2.00003,y: 0.497364,z: 10.4991


,0 x: 0,y: -10,z: 0
,1 x: -0.000333202,y: 10.9783,z: 9.99651
,2 x: -2.00022,y: 6.98101,z: 10.0043
,3 x: -2,y: 2.98428,z: 10
,4 x: -1.99977,y: 0.496653,z: 10.4998
,5 x: 1.99952,y: 6.98064,z: 10.0043
