
Raw measurements

Timestamp,Measurement
3.0002,x: -32.0428,y: -9.5,z: -2.39552
3.00046,x: -32.0477,y: -9.5,z: -2.39587
3.00109,x: -32.0523,y: -9.5,z: -2.3962
3.00128,x: -32.0642,y: -9.5,z: -2.39704
3.0015,x: -32.0679,y: -9.5,z: -2.3973
3.00172,x: -32.0722,y: -9.5,z: -2.3976
3.00192,x: -32.0762,y: -9.5,z: -2.39789
3.00215,x: -32.0802,y: -9.5,z: -2.39817
3.00231,x: -32.0845,y: -9.5,z: -2.39847
3.00256,x: -32.0874,y: -9.5,z: -2.39868
3.00277,x: -32.0923,y: -9.5,z: -2.39902
3.00298,x: -32.0963,y: -9.5,z: -2.39931
3.0032,x: -32.1003,y: -9.5,z: -2.39959
3.00339,x: -32.1044,y: -9.5,z: -2.39988
3.00361,x: -32.1081,y: -9.5,z: -2.40014
3.00383,x: -32.1121,y: -9.5,z: -2.40042
3.00404,x: -32.1164,y: -9.5,z: -2.40072
3.00428,x: -32.1204,y: -9.5,z: -2.40101
3.00445,x: -32.1251,y: -9.5,z: -2.40134
3.00468,x: -32.1281,y: -9.5,z: -2.40155
3.00488,x: -32.1326,y: -9.5,z: -2.40187
3.0051,x: -32.1364,y: -9.5,z: -2.40214
3.00529,x: -32.1404,y: -9.5,z: -2.40242
3.00552,x: -32.1442,y: -9.5,z: -2.40268
3.00573,x: -32.1485,y: -9.5,z: -2.40299
3.00595,x: -32.1526,y: -9.5,z: -2.40328
3.00617,x: -32.1567,y: -9.5,z: -2.40357
3.00632,x: -32.1609,y: -9.5,z: -2.40386
3.00656,x: -32.1637,y: -9.5,z: -2.40406
3.00678,x: -32.1683,y: -9.5,z: -2.40438
3.007,x: -32.1726,y: -9.5,z: -2.40469
3.00722,x: -32.1766,y: -9.5,z: -2.40497
3.00741,x: -32.1811,y: -9.5,z: -2.40529
3.00765,x: -32.1845,y: -9.5,z: -2.40553
3.00784,x: -32.1889,y: -9.5,z: -2.40584
3.00806,x: -32.1927,y: -9.5,z: -2.40611
3.00829,x: -32.1968,y: -9.5,z: -2.4064
3.00847,x: -32.2012,y: -9.5,z: -2.40671
3.00869,x: -32.2045,y: -9.5,z: -2.40694
3.0089,x: -32.2088,y: -9.5,z: -2.40725
3.00911,x: -32.2127,y: -9.5,z: -2.40752
3.00932,x: -32.2168,y: -9.5,z: -2.40781
3.00953,x: -32.2208,y: -9.5,z: -2.40809
3.00973,x: -32.2247,y: -9.5,z: -2.40837
3.00995,x: -32.2286,y: -9.5,z: -2.40864
3.01016,x: -32.2328,y: -9.5,z: -2.40894
3.01032,x: -32.2367,y: -9.5,z: -2.40921
3.01053,x: -32.2398,y: -9.5,z: -2.40943
3.01076,x: -32.2437,y: -9.5,z: -2.40971
3.01101,x: -32.2482,y: -9.5,z: -2.41003
3.0112,x: -32.2529,y: -9.5,z: -2.41035
3.01141,x: -32.2567,y: -9.5,z: -2.41063
3.01161,x: -32.2605,y: -9.5,z: -2.4109
3.01183,x: -32.2642,y: -9.5,z: -2.41116
3.01204,x: -32.2685,y: -9.5,z: -2.41146
3.01223,x: -32.2725,y: -9.5,z: -2.41174
3.01246,x: -32.2761,y: -9.5,z: -2.41199
3.0127,x: -32.2804,y: -9.5,z: -2.4123
3.01289,x: -32.285,y: -9.5,z: -2.41262
3.01311,x: -32.2887,y: -9.5,z: -2.41288
3.01331,x: -32.2928,y: -9.5,z: -2.41317
3.01353,x: -32.2966,y: -9.5,z: -2.41344
3.01374,x: -32.3007,y: -9.5,z: -2.41373
3.01395,x: -32.3048,y: -9.5,z: -2.41402
3.01416,x: -32.3089,y: -9.5,z: -2.41431
3.01438,x: -32.3128,y: -9.5,z: -2.41458
3.01458,x: -32.3169,y: -9.5,z: -2.41487
3.01479,x: -32.3207,y: -9.5,z: -2.41514
3.015,x: -32.3247,y: -9.5,z: -2.41542
3.01521,x: -32.3287,y: -9.5,z: -2.41571
3.01541,x: -32.333,y: -9.5,z: -2.41601
3.01563,x: -32.3366,y: -9.5,z: -2.41626
3.01584,x: -32.3407,y: -9.5,z: -2.41655
3.01607,x: -32.3447,y: -9.5,z: -2.41684
3.01627,x: -32.349,y: -9.5,z: -2.41714
3.01643,x: -32.3528,y: -9.5,z: -2.41741
3.01664,x: -32.3559,y: -9.5,z: -2.41763
3.01689,x: -32.3599,y: -9.5,z: -2.41791
3.01712,x: -32.3648,y: -9.5,z: -2.41825
3.01734,x: -32.369,y: -9.5,z: -2.41855
3.01756,x: -32.3732,y: -9.5,z: -2.41884
3.01779,x: -32.3775,y: -9.5,z: -2.41914
3.01838,x: -32.3818,y: -9.5,z: -2.41944
3.0186,x: -32.3932,y: -9.5,z: -2.42024
3.01882,x: -32.3974,y: -9.5,z: -2.42053
3.01903,x: -32.4015,y: -9.5,z: -2.42082
3.01925,x: -32.4056,y: -9.5,z: -2.42111
3.01941,x: -32.4102,y: -9.5,z: -2.42143
3.01965,x: -32.4129,y: -9.5,z: -2.42162
3.01989,x: -32.4173,y: -9.5,z: -2.42193
3.02009,x: -32.4219,y: -9.5,z: -2.42225
3.0203,x: -32.4257,y: -9.5,z: -2.42252
3.02051,x: -32.4299,y: -9.5,z: -2.42281
3.02073,x: -32.4339,y: -9.5,z: -2.42309
3.02093,x: -32.438,y: -9.5,z: -2.42337
3.02115,x: -32.4421,y: -9.5,z: -2.42366
3.02132,x: -32.446,y: -9.5,z: -2.42394
3.02154,x: -32.4492,y: -9.5,z: -2.42416
3.02174,x: -32.4535,y: -9.5,z: -2.42446
3.02197,x: -32.4572,y: -9.5,z: -2.42472
3.0222,x: -32.4618,y: -9.5,z: -2.42504
3.02241,x: -32.4662,y: -9.5,z: -2.42535
3.02263,x: -32.4701,y: -9.5,z: -2.42562
